"name","npdId","year","month","gas","gasUom","water","waterUom","CO2","CO2Uom","cuttings","cuttingsUom"
"BALDER",43562,2004,10,19590857,"Sm3",178989,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,11,14230342,"Sm3",176133,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2004,12,7070829,"Sm3",316667,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,1,6435147,"Sm3",266012,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,2,7844400,"Sm3",289157,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,3,7870627,"Sm3",326347,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,4,8081325,"Sm3",226892,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,5,13371916,"Sm3",300114,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,6,14422990,"Sm3",291043,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,7,9305174,"Sm3",291669,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,8,11425842,"Sm3",312615,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,9,13196408,"Sm3",140984,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,10,15403692,"Sm3",264211,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,11,11018198,"Sm3",357182,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2005,12,11167974,"Sm3",360063,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2006,1,18179127,"Sm3",345721,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2006,2,20875877,"Sm3",247734,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2006,3,10033399,"Sm3",337091,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2006,4,4497164,"Sm3",328049,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2006,5,5365834,"Sm3",351306,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2006,6,1649923,"Sm3",308272,"Sm3"," ","Sm3"," ","Sm3"
"BALDER",43562,2006,7,6067802,"Sm3",311470,"Sm3"," ","Sm3"," ","Sm3"
